Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Environment, Food and Rural Affairs",Defra,Veterinary Medicines Directorate,VMD,Marketing Authorisations - European e-Portal,960,,,,,,,,,1504,1255,,,,,,,,1504,1255,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Environment, Food and Rural Affairs",Defra,Veterinary Medicines Directorate,VMD,Pharmacovigilance: surveillance of veterinary medicines,900,,,,,,,,,4683,3550,,5049,3997,,,,,5049,3997,,Providing information,http://www.vmd.defra.gov.uk/adversereactionreporting/,,,,Business,Taxpayers
"Department for Environment, Food and Rural Affairs",Defra,Veterinary Medicines Directorate,VMD,Residues - Customers (samples),31600,,,,,,,,,,,,,,,,,,31600,,,Providing information,,,,,Business,Taxpayers
"Department for Environment, Food and Rural Affairs",Defra,Veterinary Medicines Directorate,VMD,Small Animal Exemption Scheme,,,,,,,,,,127,81,,,,,,,,127,81,,Requesting a licence or consent,,,,,Business,Taxpayers
Department for Education,DfE,Department for Education,DfE,Employers Portal,2600,2600,,1587,,,13928,,,15133,,,15063,,,14963,,,14963,,,Requesting information,https://www.education.gov.uk/employeraccess/LoginAction.do,,,,Business,Taxpayers
Department for Education,DfE,National College for Teaching and Leadership,,DfE online events registration,,,,,,,685,,,7284,,,823,,,385,,,385,,,Registering,http://www.education.gov.uk/get-into-teaching/events/online-events.aspx,,,,Business,Taxpayers
Department for Education,DfE,National College for Teaching and Leadership,,Initial teacher training (ITT) registration,89250,68068,,103465,,,59133,,,56326,,,70985,,,73004,,,73004,,,Registering,http://www.education.gov.uk/get-into-teaching/apply-for-teacher-training/apply-now,,,,Individuals,Taxpayers
Department for Education,DfE,National College for Teaching and Leadership,,School experience programme registration,,,,,,,115,,,2,,,260,,,206,,,206,,,Registering,https://www.education.gov.uk/get-into-teaching/school-experience/sep/sign-up,,,Figures relate to the number of schools registered during the 2012-13 business year.,Business,Taxpayers
Department for Education,DfE,National College for Teaching and Leadership,,Teacher advocate programme registration,228,,,875,,,1,,,266,,,3,,,3,,,3,,,Registering,https://www.education.gov.uk/teaching-agency-resources/tap-registration,,,,Business,Taxpayers
Department for Education,DfE,National College for Teaching and Leadership,,Train to teach events,5411,4665,,20539,,,7284,,,3397,,,7284,,,3909,,,3909,,,Registering,http://www.education.gov.uk/get-into-teaching/events/train-to-teach.aspx,,,,Individuals,Taxpayers
Department for Education,DfE,"Office for Standards in Education, Children’s Services and Skills",Ofsted,Childminder registrations,,,,,,,,,,,,,,,,,,,,,,Registering,http://www.ofsted.gov.uk/early-years-and-childcare/become-childcare-provider-or-childminder/register-childminder,,,,Business,
Department for Education,DfE,"Office for Standards in Education, Children’s Services and Skills",Ofsted,Home childcarer registrations,,,,,,,,,,,,,,,,,,,,,,Registering,http://www.ofsted.gov.uk/early-years-and-childcare/become-childcare-provider-or-childminder/register-home-childcarer,,,,Business,
Department for Education,DfE,"Office for Standards in Education, Children’s Services and Skills",Ofsted,Provider of childcare on domestic premises: registrations,,,,,,,,,,,,,,,,,,,,,,Registering,http://www.ofsted.gov.uk/early-years-and-childcare/become-childcare-provider-or-childminder/register-provide-childcare-domestic-premises,,,,Business,
Department for Education,DfE,"Office for Standards in Education, Children’s Services and Skills",Ofsted,Provider of childcare on non-domestic premises: registrations,,,,,,,,,,,,,,,,,,,,,,Registering,http://www.ofsted.gov.uk/early-years-and-childcare/become-childcare-provider-or-childminder/register-provide-childcare-non-domestic-premises,,,,Business,
Department for Education,DfE,Ofqual,,Apply to become a recognised awarding organisation,26,,,,,,2,,,3,,,2,,,3,,,3,,,Requesting a licence or consent,http://www.ofqual.gov.uk/for-awarding-organisations/recognition,,,,Business,Taxpayers
Department for Education,DfE,Ofqual,,Submit a qualification to the Register of Regulated Qualifications,7300,,,3493,,,4014,,,4152,,,4634,,,4861,,,4861,,,Providing information,http://www.ofqual.gov.uk/for-awarding-organisations/operating/,,,,Business,Taxpayers
Department for Education,DfE,Standards and Testing Agency,STA,Standards and Testing Agency: publications orderline,,,,674,,,12076,,,124033,,,131981,,,134753,,,134753,,,Ordering goods,http://orderline.education.gov.uk/,Orders of printed and electronic resources.,,,Business,Taxpayers
Department for International Development,DFID,Department for International Development,DFID,Funding applications: Global Poverty Action Fund,3440,,,804,,,826,,,815,,,608,0,,395,0,,395,0,,"Requesting benefits, payments or loans",https://www.gov.uk/global-poverty-action-fund-gpaf,A £40m fund awarded through two 'windows' to reduce poverty. The fund is managed by a third party on behalf of DFID.,,,Business,Taxpayers
Department for International Development,DFID,Department for International Development,DFID,Scholarships/fellowships: administered by the Commonwealth Scholarship Commission,700,,,,,,14000,,,13574,,,13689,0,,14898,0,,14898,0,,"Requesting benefits, payments or loans",http://cscuk.dfid.gov.uk/apply/eas/,Scholarships and fellowships for postgraduate study in the UK by citizens from other Commonwealth countries.,,,Individuals,Taxpayers
Department for International Development,DFID,Department for International Development,DFID,UK aid match: proposals submitted,30,,,25,,,25,,,0,,,17,0,,46,0,,46,0,,"Requesting benefits, payments or loans",https://www.gov.uk/uk-aid-match,A fund that matches  public donations to appeals made by not-for-profit organisations for work that is carried out in developing countries to reduce poverty.,,,Business,Taxpayers
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Add provisional entitlements to driving licence,,,,,,,46724,0,4.31,45171,0,4.94,88337,,6.57,127436,,10.95,127436,,10.95,Requesting a licence or consent,https://www.gov.uk/adding-higher-categories-to-your-driving-licence,This transactional service includes adding provisional entitlement to drive vocational vehicles to a driving licence.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Amend trade licence,,,,,,,6150,0,11.16,6417,0,12.43,5172,,28.45,2695,,,2695,,,Providing information,https://www.gov.uk/trade-licence-plates,This transactional service includes applications for a replacement or otherwise changing your trade licence.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Business,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Amend vehicle tax details,,,,,,,4563,0,2.53,3828,0,3.03,3486,,3.34,3476,,2.41,3476,,2.41,Providing information,,This transactional service includes applications for a new vehicle licence when the tax class has changed.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Apply for digital tachograph card,311565,,,,,,287026,0,4.37,278224,0,4.93,267284,,6.93,222189,,13.93,222189,,13.93,Requesting a licence or consent,https://www.gov.uk/government/organisations/vehicle-and-operator-services-agency/series/approved-tachograph-centre-forms-and-guidance,"This transactional service includes applications for a company, control, driver or work digital tachograph card.",,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Business,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Apply for or renew diplomatic driver permit,,,,,,,1792,0,13.40,2785,0,14.76,2447,,26.50,2042,,12.87,2042,,12.87,Requesting a licence or consent,,"This transactional service includes applications for a new, or renewal of, a diplomatic driver permit.",,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Apply for trade licence,,,,,,,3442,0,20.50,4164,0,22.56,4289,,41.28,80374,,,80374,,,Requesting a licence or consent,https://www.gov.uk/trade-licence-plates,This transactional service includes applications for a new trade licence.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Business,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Buy a personalised registration number,217525,,,,,,437636,,1.81,233815,225361,2.10,238016,229577,4.93,244588,236134,4.06,244588,236134,4.06,Ordering goods,https://www.gov.uk/buy-a-personalised-registration-number,This transactional service includes purchasing a personalised registration number.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Destroyed or damaged vehicles reported,1649747,,,,,,1548094,1492896,1.75,1643651,1638213,2.11,1640876,1635831,2.30,1649230,1644593,1.70,1649230,1644593,1.70,Providing information,,Reporting a destroyed or seriously damaged vehicle to DVLA.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Driver Certificate of Professional Competence (CPC): create or update records,,,,,,,1764632,1533208,2.70,982070,808361,2.86,704121,,3.37,,,3.09,704121,,3.37,Providing information,,This transactional service includes updating a drivers Certificate of Professional Competence details.,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Driving licences: changes,2629437,,,,,,2468832,631590,3.16,2523983,668929,3.65,2593698,704463,4.72,2642826,720243,5.65,2642826,720243,5.65,Providing information,https://www.gov.uk/change-address-driving-licence,This transactional service includes changes of address or other details on a driving licence.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Driving licences: checks made by individuals,,,,,,,148383,0,4.37,120590,,4.92,122267,,7.31,119799,,6.31,119799,,6.31,Requesting information,,This transactional service includes requests for information held about individuals (only released to the individual in question).,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Driving licences: fixed penalties and endorsements changed or removed,,,,,,,2048639,1708106,2.04,1690767,1387932,2.38,1667177,1370379,2.63,1640737,1350330,1.70,1640737,1350330,1.70,Providing information,https://www.gov.uk/penalty-points-endorsements,This transactional service includes fixed penalties and endorsements to driving licences.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Driving licences: renewals,4065672,,,,,,4278901,810942,3.29,4314195,779651,3.80,4282972,956303,5.14,4289151,946537,7.28,4289151,946537,7.28,Providing information,https://www.gov.uk/renew-driving-licence,"This transactional service includes ten-year renewals of photographs, renewal of entitlement to drive vocational vehicles, and renewal after a period of disqualification.",,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Driving licences: replacements,1223826,498101,,,,,1107390,544765,3.72,1144511,543437,4.29,1164440,557454,5.81,1165942,556120,6.36,1165942,556120,6.36,Requesting a licence or consent,https://www.gov.uk/apply-online-to-replace-a-driving-licence,This transactional service includes duplicate driving licences to replace those that have been lost or stolen.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Driving licences: third-party checks,,,,,,,3618015,2835586,2.12,4194437,2484651,2.70,4136863,2480779,2.88,4210258,2571968,2.01,4210258,2571968,2.01,Requesting information,,This transactional service includes checking a drivers entitlement to drive and is carried out with the Driver's permission by a third party.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Exchange non-GB driving licence for GB licence,77490,0,,,,,95485,0,4.31,96314,,4.94,86941,,6.57,92290,,15.97,92290,,15.97,Requesting a licence or consent,https://www.gov.uk/exchange-a-foreign-driving-licence,This transactional service includes exchanging a non-GB licence for a GB licence.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Export a vehicle,,,,,,,21499,0,1.75,19066,0,2.11,18438,,2.30,18624,,12.64,18624,,12.64,Providing information,https://www.gov.uk/taking-vehicles-out-of-uk,This transactional service includes exporting a vehicle to another country.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Paper driving licences exchanged for photocard licences,,,,,,,47400,47400,3.24,52292,52292,3.78,49983,49983,5.20,49193,49193,5.54,49193,49193,5.54,Requesting a licence or consent,https://www.gov.uk/exchange-paper-driving-licence,This transactional service includes exchanging a paper licence for a photocard.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Personalised registration certificates: amendments,187083,,,,,,351293,,13.38,374809,73005,10.42,358570,75276,18.93,322222,76755,8.03,322222,76755,8.03,Providing information,https://www.gov.uk/personalised-vehicle-registration-numbers/renewing-updating-or-replacing-a-v778-retention-document,This transactional service includes change of details on a personalised registration certificate.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Personalised registration: assign numbers to vehicles,431434,,,,,,924551,38571,10.42,571378,5405,12.00,618165,10941,7.87,677636,,9.13,677636,,9.13,Providing information,https://www.gov.uk/personalised-vehicle-registration-numbers/assigning-a-personalised-number-to-a-vehicle,This transactional service includes assigning a personalised registration number to a vehicle.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Provisional driving licence applications,1031950,121879,,,,,935083,319924,4.11,913894,316746,4.74,923009,320575,6.33,935710,323807,9.70,935710,323807,9.70,Requesting a licence or consent,https://www.gov.uk/apply-first-provisional-driving-licence,This transactional service includes applications for a provisional driving licence.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Register or amend fleet vehicle details,,,,,,,102198,0,2.79,101787,,3.29,103528,,4.27,123882,,5.25,123882,,5.25,Providing information,,This transactional service includes changes to vehicle registration certificate details for fleet vehicles.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Business,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Renew trade licence,,,,,,,69275,0,14.48,64428,0,16.00,62056,,28.91,59316,,,59316,,,Requesting a licence or consent,https://www.gov.uk/trade-licence-plates,This transactional service includes renewing a trade licence.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Business,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Replace tax disc,,,,,,,91458,0,2.14,71112,0,2.57,74478,,2.82,76431,,3.80,76431,,3.80,,https://www.gov.uk/apply-duplicate-tax-disc,This transactional service includes replacing a lost or stolen tax disc.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Replace vehicle registration certificate,,,,,,,210196,0,2.43,214469,0,2.88,223876,,3.43,228680,,2.00,228680,,2.00,Requesting a licence or consent,,This transactional service includes replacing lost or stolen vehicle registration certificates (log book).,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Report death of driver,,,,,,,200453,0,2.60,201203,0,3.02,201948,,3.36,191313,,3.02,191313,,3.02,Providing information,,This transactional service includes the notification of the death of a driver.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Request certificate of entitlement to drive,,,,,,,1250260,0,2.96,,0,,0,,,,,,0,,,Requesting a licence or consent,,This transactional service includes provision of a certificate of entitlement to drive for car hire companies.,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Retain a personalised registration number,303796,0,,,,,289815,0,19.66,318112,0,21.57,309253,,20.87,289797,,26.55,289797,,26.55,Providing information,https://www.gov.uk/personalised-vehicle-registration-numbers/retaining-a-registration-number,Applications to remove a registration number from a vehicle and keep it for future use.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,SORN (statutory off-road notification) applications,4502000,3078000,,,,,4223315,3527784,0.66,3871155,3210882,0.66,3902724,3358434,0.62,3912832,3384366,0.61,3912832,3384366,0.61,Providing information,https://www.gov.uk/register-sorn-statutory-off-road-notification,This transactional service is for declaring that your vehicle is not being driven on the roads – a Statutory Off Road Notification.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Transfer a personalised registration number,312158,,,,,,346711,0,19.66,310319,0,21.57,304432,,15.60,295742,,32.11,295742,,32.11,Providing information,https://www.gov.uk/transferring-vehicle-registration-number-form-v317,Applications to transfer a vehicle registration number from one vehicle to another.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle registration certificates: changes,,,,,,,40936023,,1.98,12204837,,2.94,12620610,,3.81,12694491,,2.95,12694491,,2.95,Providing information,,This transactional service includes changing details on a vehicle registration certificate (log book).,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle registration: changes of ownership,,,,,,,6153034,0,3.31,5797675,0,3.90,5938430,0,5.40,5971674,,3.37,5971674,,3.37,Providing information,https://www.gov.uk/notifying-dvla-if-you-sell-your-vehicle,This transactional service includes notifying DVLA that a vehicle has changed owner.,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle registrations,2381218,2111000,,,,,2516362,2346644,2.42,2569282,2321735,2.86,2653409,2412354,3.71,2720303,2495543,2.85,2720303,2495543,2.85,Requesting a licence or consent,https://www.gov.uk/vehicle-registration,This transactional service includes registering a vehicle for the first time.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle tax: checks by third-parties,,,,,,,7927933,,1.78,4280435,3575650,2.15,4022041,3346671,2.35,3704493,3056631,2.14,3704493,3056631,2.14,Requesting information,,"This transactional service includes requests for vehicle details from police, trading standards, insurance and congestion charging officials.",,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle tax: checks made by individuals,,,,,,,28655088,,1.77,26340643,25472280,2.13,23685565,22820023,2.35,25728618,24831733,1.87,25728618,24831733,1.87,Requesting information,https://www.gov.uk/check-vehicle-tax,This transactional service includes requests for vehicle details made via all channels.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle tax: refunds,2853000,0,,,,,2952947,0,2.45,2808358,0,2.91,2784874,,3.81,2784201,,3.01,2784201,,3.01,"Requesting benefits, payments or loans",https://www.gov.uk/apply-for-tax-disc-refund-form-v14,This transactional service includes applications for a refund of Vehicle Excise Duty.,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",,Individuals,Fees and charges
Department for Transport,DfT,Driver and Vehicle Licensing Agency,DVLA,Vehicle tax: renewals,46012000,23396000,,,,,45778327,24701745,1.43,42824432,22655007,1.81,42822160,23014845,0.89,43377516,23536288,1.03,43377516,23536288,1.03,Requesting a licence or consent,https://www.gov.uk/tax-disc,This transactional service includes paying Vehicle Excise Duty.,,"The volume and cost data presented here is subject to change as the method of calculation is refined. Until it has been through a formal assurance process, care should be taken in using the data to support analysis of DVLA business.",Individuals,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Apply for Pass Plus packs,6000,,,5261,1027,,4955,1011,,4699,1099,,4375,1254,,4190,1355,,4190,1355,,Ordering goods,https://www.gov.uk/pass-plus-approved-driving-instructor-services,,,,Individuals,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driver Certificate of Professional Competence (CPC): record training,85000,,,215432,213926,,231366,231125,,281296,280942,,335402,334869,,357082,356518,,357082,356518,,Providing information,https://www.gov.uk/record-driver-cpc-training-you-deliver,Records of candidates who have completed a Driver Certificate of Professional Competence (CPC) periodic training course.,,,Business,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driving instructors:  registrations,5000,,,4094,260,,3365,293,,3139,331,,2864,364,,2929,378,,2929,378,,Registering,https://www.gov.uk/manage-approved-driving-instructor-registration,,,,Business,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driving instructors: change of details,50000,,,54275,15167,,53376,15315,,53068,15414,,52960,15826,,51293,15014,,51293,15014,,Amending/deleting information,https://www.gov.uk/update-approved-driving-instructor-registration,,,,Business,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driving instructors: first applications,16000,,,12080,6607,,11508,7316,,12280,8282,,11470,8058,,10454,7441,,10454,7441,,Requesting a licence or consent,https://www.gov.uk/apply-to-become-a-driving-instructor,,,,Business,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driving instructors: renewals and re-registrations,9000,,,9308,4667,,9144,5161,,9379,5677,,9320,6293,,9294,6892,,9294,6892,,Amending/deleting information,https://www.gov.uk/renew-approved-driving-instructor-adi-registration,,,,Business,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driving instructors: trainee licence applications,4000,,,2709,166,,2367,172,,2141,195,,1915,256,,1868,293,,1868,293,,Requesting a licence or consent,https://www.gov.uk/apply-for-a-trainee-driving-instructor-licence,,,,Business,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driving theory test: bookings,1694995,1510239,,1626560,1471273,,1616758,1493515,,1673231,1573190,,1744440,1671191,,1820881,1769699,,1820881,1769699,,Booking events and resources,https://www.gov.uk/book-a-driving-theory-test,Book and pay for a theory driving test.,Transactional cost data is not available separately since the booking process is part of a much wider and fully outsourced contract for the delivery of the theory test itself.,,Individuals,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Driving theory tests: changes to bookings,230000,,,228607,194192,,231640,203229,,253708,229128,,284236,263885,,304990,288590,,304990,288590,,Amending/deleting information,https://www.gov.uk/change-date-driving-theory-test,Changes to the date or test centre for theory driving tests.,,,Individuals,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Practical driving test: bookings,1942010,1502000,1.10,1932622,1520291,1.17,1877051,1529651,1.23,1862949,1592151,1.02,1853764,1665253,0.96,1841204,1712163,0.88,1841204,1712163,0.88,Booking events and resources,https://www.gov.uk/book-practical-driving-test,Service aimed at learner drivers to allow the booking and fee payment for a practical driving test.,,,Individuals,Fees and charges
Department for Transport,DfT,Driving Standards Agency,DSA,Practical driving test: changes to bookings,874982,692431,0.73,781373,637836,0.84,797942,665265,0.88,815103,700631,0.74,836257,744310,0.71,878370,804736,0.64,878370,804736,0.64,Amending/deleting information,https://www.gov.uk/change-date-practical-driving-test,"Service aimed at learner drivers to manage practical driving test bookings, e.g. change of date or cancellation",,,Individuals,Fees and charges
Department for Transport,DfT,Highways Agency,HA,Compensation claims: Part I,471,,,1390,,,,,,,,,,,,,,,1390,,,Requesting information,http://www.highways.gov.uk/our-road-network/land-property-and-compensation/part-1-claims/,,,,Individuals,Taxpayers
Department for Transport,DfT,Highways Agency,HA,Electronic Service Delivery for Abnormal Loads (ESDAL): notifications,,,,,,,,,,,,,957161,957161,,1021206,1021206,0.87,1021206,1021206,0.87,Providing information,http://www.highways.gov.uk/specialist-information/abnormal-loads/,Notification service for abnormal loads on the strategic roads network in England,Transactional cost data is not currently available.,,Individuals,Taxpayers
Department for Transport,DfT,Marine Accident Investigation Branch,MAIB,Report an accident,,,,,,,1406,,,1512,,,1473,,,1488,,,1488,,,Providing information,http://www.maib.gov.uk/report_an_accident/index.cfm,,,,Individuals,Taxpayers
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Small Ships Register,3500,,,3500,,,10807,,,,,,10805,5886,25.00,10585,5951,25.00,10585,5951,25.00,Registering,https://mcanet.mcga.gov.uk/ssr/ssr/,Registering a small ship.,,,Individuals,Taxpayers
Department for Transport,DfT,Maritime and Coastguard Agency,MCA,Voluntary identification system (CG66),1600,,,1600,,,,,,,,,,,,,,,1600,,,Providing information,https://mcanet.mcga.gov.uk/public/cg66/,Voluntary provision of ship identification details to assist rescue services,,,Individuals,Taxpayers
Department for Transport,DfT,Vehicle and Operator Services Agency,VOSA,Annual HGV PSV test booking,695000,,,494000,248413,,494000,248000,,443331,227941,,401810,,,370794,,,370794,,,Booking events and resources,https://www.gov.uk/book-a-single-annual-test-online,Annual test bookings for heavy goods vehicles (HGVs) and public service vehicles (PSVs).,,,Business,Fees and charges
